image_name,labels
BRATS_142.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_017.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_117.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_009.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_109.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_074.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_174.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_105.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_005.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_178.nii.gz,"background,edema,non-enhancing tumor"
BRATS_078.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_480.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_166.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_066.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_040.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_140.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_023.nii.gz,"background,edema,non-enhancing tumor"
BRATS_294.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_123.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_394.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_398.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_298.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_152.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_052.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_386.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_131.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_286.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_031.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_119.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_019.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_482.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_164.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_064.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_107.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_007.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_076.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_176.nii.gz,"background,edema,non-enhancing tumor"
BRATS_015.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_115.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_068.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_168.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_208.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_308.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_459.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_275.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_375.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_424.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_216.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_316.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_447.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_436.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_367.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_267.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_455.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_304.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_204.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_428.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_379.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_279.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_351.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_400.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_251.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_332.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_463.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_185.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_232.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_085.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_089.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_189.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_243.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_412.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_343.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_097.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_220.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_197.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_471.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_320.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_072.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_172.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_011.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_111.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_160.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_060.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_103.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_003.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_156.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_056.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_148.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_048.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_382.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_135.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_282.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_035.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_044.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_144.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_039.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_139.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_027.nii.gz,"background,edema,non-enhancing tumor"
BRATS_290.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_127.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_390.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_247.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_347.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_416.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_259.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_359.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_408.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_093.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_224.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_193.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_324.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_475.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_404.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_355.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_255.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_479.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_328.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_228.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_467.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_336.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_181.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_236.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_081.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_363.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_432.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_263.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_300.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_451.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_200.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_271.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_420.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_371.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_212.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_443.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_312.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_418.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_349.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_249.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_465.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_334.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_183.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_234.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_083.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_406.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_357.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_257.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_091.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_226.nii.gz,"background,edema,non-enhancing tumor"
BRATS_191.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_326.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_477.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_245.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_345.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_414.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_238.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_338.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_469.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_210.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_441.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_310.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_273.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_422.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_373.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_302.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_453.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_202.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_361.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_430.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_261.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_101.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_001.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_484.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_162.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_062.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_013.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_113.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_070.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_170.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_058.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_158.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_025.nii.gz,"background,edema,non-enhancing tumor"
BRATS_292.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_125.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_392.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_046.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_146.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_380.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_137.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_280.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_037.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_154.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_054.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_129.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_029.nii.gz,"background,edema,non-enhancing tumor"
BRATS_175.nii.gz,"background,edema,non-enhancing tumor"
BRATS_075.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_108.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_008.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_116.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_016.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_067.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_481.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_167.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_079.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_179.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_004.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_104.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_051.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_151.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_285.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_032.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_385.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_132.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_143.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_043.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_389.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_289.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_120.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_397.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_020.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_297.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_411.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_340.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_240.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_194.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_472.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_323.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_094.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_223.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_252.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_352.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_403.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_098.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_198.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_231.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_086.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_331.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_460.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_186.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_264.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_435.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_364.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_219.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_448.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_319.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_207.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_456.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_307.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_376.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_427.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_276.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_368.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_439.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_268.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_315.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_444.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_215.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_233.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_084.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_333.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_462.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_184.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_250.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_350.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_401.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_196.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_470.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_321.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_096.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_221.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_413.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_342.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_242.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_188.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_088.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_317.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_446.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_217.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_374.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_425.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_274.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_309.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_458.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_209.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_278.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_429.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_378.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_205.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_454.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_305.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_266.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_437.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_366.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_006.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_106.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_065.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_483.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_165.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_018.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_118.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_169.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_069.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_114.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_014.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_177.nii.gz,"background,edema,non-enhancing tumor"
BRATS_077.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_122.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_395.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_022.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_295.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_141.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_041.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_287.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_030.nii.gz,"background,edema,non-enhancing tumor"
BRATS_387.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_130.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_053.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_153.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_299.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_399.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
BRATS_201.nii.gz,"background,edema,non-enhancing tumor,enhancing tumour"
